y_actual,y_pred
2411.754632110491,5883.281099730855
8232.334829425821,5136.576657640671
7014.887987203389,7200.552801219046
5267.956807510521,5853.395070335237
7152.2860494355145,5691.38209381988
1912.4656631007608,7202.750765067411
2390.8078665561734,4711.133186281767
8651.672682982065,5375.027326834557
2330.965802091949,5503.9267056494755
8661.996792392383,6783.344834281361
9364.673505076173,6449.254848106139
2766.342366866089,6643.420013565724
7910.886916140686,5428.970595870166
5149.9983504080365,5672.947345135304
9592.633570280312,5975.890837625667
2686.505151567447,5945.512238595649
5328.375984297758,4105.0599213687665
2483.7601775427947,5106.374955913002
2873.7414460214413,4626.596178424087
9655.135102719398,6417.132387028518
